channel_id,name,program_id,url
0,"LIVE Stream 1",L_CH0_P0,https://www.youtube.com/watch?v=1ENewOqrwLo
0,"LIVE Stream 1",L_CH0_P1,https://www.youtube.com/watch?v=Gqlgd8rORgI
0,"LIVE Stream 1",L_CH0_P2,https://www.youtube.com/watch?v=sAqDNkbqyhs
0,"LIVE Stream 1",L_CH0_P3,https://www.youtube.com/watch?v=RPrsiPQZXlw
0,"LIVE Stream 1",L_CH0_P4,https://www.youtube.com/watch?v=K6hld5SyeGM
1,"LIVE Stream 2",L_CH1_P0,https://www.youtube.com/watch?v=sAqDNkbqyhs
1,"LIVE Stream 2",L_CH1_P1,https://www.youtube.com/watch?v=dvd8E_bFpUM
1,"LIVE Stream 2",L_CH1_P2,https://www.youtube.com/watch?v=K6hld5SyeGM
1,"LIVE Stream 2",L_CH1_P3,https://www.youtube.com/watch?v=JruBYA6Cdn0
1,"LIVE Stream 2",L_CH1_P4,https://www.youtube.com/watch?v=w49ZSyfo36M
2,"LIVE Stream 3",L_CH2_P0,https://www.youtube.com/watch?v=IIvqXGAu-eU
2,"LIVE Stream 3",L_CH2_P1,https://www.youtube.com/watch?v=MtpUWw94BVk
2,"LIVE Stream 3",L_CH2_P2,https://www.youtube.com/watch?v=jFOIx7p4teQ
2,"LIVE Stream 3",L_CH2_P3,https://www.youtube.com/watch?v=MYKt1Q-ntpI
2,"LIVE Stream 3",L_CH2_P4,https://www.youtube.com/watch?v=yjw3XxJJFik
3,"LIVE Stream 4",L_CH3_P0,https://www.youtube.com/watch?v=Gqlgd8rORgI
3,"LIVE Stream 4",L_CH3_P1,https://www.youtube.com/watch?v=sLSpuZd4V2E
3,"LIVE Stream 4",L_CH3_P2,https://www.youtube.com/watch?v=wJBQnQANaR8
3,"LIVE Stream 4",L_CH3_P3,https://www.youtube.com/watch?v=X-Z3HOrHSXs
3,"LIVE Stream 4",L_CH3_P4,https://www.youtube.com/watch?v=3MOrgUjiigE
4,"LIVE Stream 5",L_CH4_P0,https://www.youtube.com/watch?v=MYKt1Q-ntpI
4,"LIVE Stream 5",L_CH4_P1,https://www.youtube.com/watch?v=2bMSOk-p_4s
4,"LIVE Stream 5",L_CH4_P2,https://www.youtube.com/watch?v=S3D5XrY6jmY
4,"LIVE Stream 5",L_CH4_P3,https://www.youtube.com/watch?v=RPrsiPQZXlw
4,"LIVE Stream 5",L_CH4_P4,https://www.youtube.com/watch?v=ZLAeXxW0Frk
5,"LIVE Stream 6",L_CH5_P0,https://www.youtube.com/watch?v=TPxlXo9X0gQ
5,"LIVE Stream 6",L_CH5_P1,https://www.youtube.com/watch?v=wJBQnQANaR8
5,"LIVE Stream 6",L_CH5_P2,https://www.youtube.com/watch?v=GernRiR9NT8
5,"LIVE Stream 6",L_CH5_P3,https://www.youtube.com/watch?v=_sXT-CHVXdE
5,"LIVE Stream 6",L_CH5_P4,https://www.youtube.com/watch?v=w49ZSyfo36M
6,"LIVE Stream 7",L_CH6_P0,https://www.youtube.com/watch?v=RPrsiPQZXlw
6,"LIVE Stream 7",L_CH6_P1,https://www.youtube.com/watch?v=OiVfGx5_HTY
6,"LIVE Stream 7",L_CH6_P2,https://www.youtube.com/watch?v=-Lef6zWldvA
6,"LIVE Stream 7",L_CH6_P3,https://www.youtube.com/watch?v=A816UNFXaS0
6,"LIVE Stream 7",L_CH6_P4,https://www.youtube.com/watch?v=fh9cNDi8RYI
7,"LIVE Stream 8",L_CH7_P0,https://www.youtube.com/watch?v=_sXT-CHVXdE
7,"LIVE Stream 8",L_CH7_P1,https://www.youtube.com/watch?v=2bMSOk-p_4s
7,"LIVE Stream 8",L_CH7_P2,https://www.youtube.com/watch?v=jFOIx7p4teQ
7,"LIVE Stream 8",L_CH7_P3,https://www.youtube.com/watch?v=A816UNFXaS0
7,"LIVE Stream 8",L_CH7_P4,https://www.youtube.com/watch?v=sLSpuZd4V2E
8,"LIVE Stream 9",L_CH8_P0,https://www.youtube.com/watch?v=JruBYA6Cdn0
